X,Y,Z,DISP,FEED MM/MIN,DUR TIME,TME
25.803,-29.479,-1.5,1.176041241,,0.032612199,59.27547787
26.676,-28.691,-1.5,0.062968246,,0.784027494,60.05950537
26.722,-28.648,-1.5,1.17049434,,0.041978831,60.1014842
27.566,-27.837,-1.5,0.065053824,,0.78032956,60.88181376
27.612,-27.791,-1.5,1.179538893,,0.043369216,60.92518298
28.436,-26.947,-1.5,0.043139309,,0.786359262,61.71154224
28.466,-26.916,-1.5,1.179139517,,0.028759539,61.74030178
29.263,-26.047,-1.5,0.070837843,,0.786093011,62.52639479
29.31,-25.994,-1.5,1.206894362,,0.047225229,62.57362002
30.097,-25.079,-1.5,0.057628118,,0.804596241,63.37821626
30.133,-25.034,-1.5,1.156320025,,0.038418745,63.416635
30.859,-24.134,-1.5,0.041231056,,0.770880017,64.18751502
30.885,-24.102,-1.5,1.213006595,,0.027487371,64.21500239
31.616,-23.134,-1.5,0.015620499,,0.808671063,65.02367345
31.626,-23.122,-1.5,1.17167615,,0.010413666,65.03408712
32.302,-22.165,-1.5,0.068818602,,0.781117433,65.81520455
32.342,-22.109,-1.5,1.213972817,,0.045879068,65.86108362
33.011,-21.096,-1.5,0.021633308,,0.809315211,66.67039883
33.023,-21.078,-1.5,1.179481666,,0.014422205,66.68482104
33.642,-20.074,-1.5,0.054708317,,0.786321111,67.47114215
33.67,-20.027,-1.5,1.185278026,,0.036472212,67.50761436
34.26,-18.999,-1.5,0.046647615,,0.790185351,68.29779971
34.284,-18.959,-1.5,1.211000413,,0.03109841,68.32889812
34.853,-17.89,-1.5,0.058137767,,0.807333609,69.13623173
34.879,-17.838,-1.5,1.197212178,,0.038758512,69.17499024
35.408,-16.764,-1.5,0.061741396,,0.798141452,69.97313169
35.434,-16.708,-1.5,1.173876484,,0.041160931,70.01429262
35.919,-15.639,-1.5,0.060926185,,0.782584323,70.79687695
35.943,-15.583,-1.5,1.183923139,,0.040617457,70.8374944
36.398,-14.49,-1.5,1.178033106,,0.789282093,71.6267765
36.817,-13.389,-1.5,0.059808026,,0.785355404,72.4121319
36.838,-13.333,-1.5,0.031622777,,0.039872017,72.45200392
36.848,-13.303,-1.5,1.158082035,,0.021081851,72.47308577
37.225,-12.208,-1.5,0.052810984,,0.77205469,73.24514046
37.242,-12.158,-1.5,1.184872989,,0.035207322,73.28034778
37.592,-11.026,-1.5,0.0585235,,0.789915326,74.07026311
37.609,-10.97,-1.5,1.166664476,,0.039015666,74.10927877
37.918,-9.845,-1.5,0.058240879,,0.777776317,74.88705509
37.934,-9.789,-1.5,1.21587376,,0.038827253,74.92588234
38.219,-8.607,-1.5,0.057271284,,0.810582507,75.73646485
38.231,-8.551,-1.5,1.149078326,,0.038180856,75.77464571
38.465,-7.426,-1.5,0.057271284,,0.766052218,76.54069792
38.477,-7.37,-1.5,1.19998875,,0.038180856,76.57887878
38.684,-6.188,-1.5,0.056718604,,0.7999925,77.37887128
38.693,-6.132,-1.5,1.193030595,,0.037812402,77.41668368
38.862,-4.951,-1.5,0.057428216,,0.79535373,78.21203741
38.869,-4.894,-1.5,1.188243241,,0.038285477,78.25032289
39,-3.713,-1.5,0.056222771,,0.792162161,79.04248505
39.005,-3.657,-1.5,1.185652985,,0.037481847,79.0799669
39.098,-2.475,-1.5,0.004,,0.790435323,79.87040222
39.098,-2.471,-1.5,1.188367788,,0.002666667,79.87306889
39.155,-1.284,-1.5,0.046043458,,0.792245192,80.66531408
39.157,-1.238,-1.5,0.057008771,,0.030695638,80.69600972
39.158,-1.181,-1.5,1.181137164,,0.038005848,80.73401557
39.176,0,-1.5,1.181137164,,0.787424776,81.52144034
39.158,1.181,-1.5,0.057008771,,0.787424776,82.30886512
39.157,1.238,-1.5,0.046043458,,0.038005848,82.34687097
39.155,1.284,-1.5,1.188367788,,0.030695638,82.3775666
39.098,2.471,-1.5,0.004,,0.792245192,83.1698118
39.098,2.475,-1.5,1.185652985,,0.002666667,83.17247846
39.005,3.657,-1.5,0.056222771,,0.790435323,83.96291379
39,3.713,-1.5,1.188243241,,0.037481847,84.00039563
38.869,4.894,-1.5,0.057428216,,0.792162161,84.79255779
38.862,4.951,-1.5,1.193030595,,0.038285477,84.83084327
38.693,6.132,-1.5,0.056718604,,0.79535373,85.626197
38.684,6.188,-1.5,1.19998875,,0.037812402,85.6640094
38.477,7.37,-1.5,0.057271284,,0.7999925,86.4640019
38.465,7.426,-1.5,1.149078326,,0.038180856,86.50218276
38.231,8.551,-1.5,0.057271284,,0.766052218,87.26823498
38.219,8.607,-1.5,1.21587376,,0.038180856,87.30641583
37.934,9.789,-1.5,0.063324561,,0.810582507,88.11699834
37.917,9.85,-1.5,1.161578237,,0.042216374,88.15921471
37.609,10.97,-1.5,0.0585235,,0.774385491,88.93360021
37.592,11.026,-1.5,1.184872989,,0.039015666,88.97261587
37.242,12.158,-1.5,0.052810984,,0.789915326,89.7625312
37.225,12.208,-1.5,1.158082035,,0.035207322,89.79773852
36.848,13.303,-1.5,0.031622777,,0.77205469,90.56979321
36.838,13.333,-1.5,0.059808026,,0.021081851,90.59087506
36.817,13.389,-1.5,1.178033106,,0.039872017,90.63074708
36.398,14.49,-1.5,1.183923139,,0.785355404,91.41610248
35.943,15.583,-1.5,0.060926185,,0.789282093,92.20538458
35.919,15.639,-1.5,1.173876484,,0.040617457,92.24600203
35.434,16.708,-1.5,0.061741396,,0.782584323,93.02858636
35.408,16.764,-1.5,1.197212178,,0.041160931,93.06974729
34.879,17.838,-1.5,0.058137767,,0.798141452,93.86788874
34.853,17.89,-1.5,1.211000413,,0.038758512,93.90664725
34.284,18.959,-1.5,0.046647615,,0.807333609,94.71398086
34.26,18.999,-1.5,1.185278026,,0.03109841,94.74507927
33.67,20.027,-1.5,0.054708317,,0.790185351,95.53526462
33.642,20.074,-1.5,1.179481666,,0.036472212,95.57173683
33.023,21.078,-1.5,0.021633308,,0.786321111,96.35805794
33.011,21.096,-1.5,1.213972817,,0.014422205,96.37248015
32.342,22.109,-1.5,0.068818602,,0.809315211,97.18179536
32.302,22.165,-1.5,1.17167615,,0.045879068,97.22767443
31.626,23.122,-1.5,0.015620499,,0.781117433,98.00879186
31.616,23.134,-1.5,1.213006595,,0.010413666,98.01920553
30.885,24.102,-1.5,0.041231056,,0.808671063,98.82787659
30.859,24.134,-1.5,1.156320025,,0.027487371,98.85536396
30.133,25.034,-1.5,0.057628118,,0.770880017,99.62624398
30.097,25.079,-1.5,1.206894362,,0.038418745,99.66466272
29.31,25.994,-1.5,0.070837843,,0.804596241,100.469259
29.263,26.047,-1.5,1.179139517,,0.047225229,100.5164842
28.466,26.916,-1.5,0.043139309,,0.786093011,101.3025772
28.436,26.947,-1.5,1.179538893,,0.028759539,101.3313367
27.612,27.791,-1.5,0.065053824,,0.786359262,102.117696
27.566,27.837,-1.5,1.17049434,,0.043369216,102.1610652
26.722,28.648,-1.5,0.062968246,,0.78032956,102.9413948
26.676,28.691,-1.5,1.176041241,,0.041978831,102.9833736
25.803,29.479,-1.5,0.048918299,,0.784027494,103.7674011
25.766,29.511,-1.5,1.180019068,,0.032612199,103.8000133
24.865,30.273,-1.5,0.072470684,,0.786679378,104.5866927
24.809,30.319,-1.5,1.18146096,,0.048313789,104.6350065
23.884,31.054,-1.5,0.039204592,,0.78764064,105.4226471
23.853,31.078,-1.5,1.192212229,,0.026136394,105.4487835
22.896,31.789,-1.5,0.068818602,,0.794808153,106.2435917
22.84,31.829,-1.5,1.164543258,,0.045879068,106.2894707
21.884,32.494,-1.5,0.039661064,,0.776362172,107.0658329
21.851,32.516,-1.5,1.168832323,,0.026440709,107.0922736
